Ni,Al,Co,Cr,Mo,Re,Ru,Ta,W,Ti,Nb,T,Stress,Creep Life
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1070,272,0.919078092376074
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,220,0.9684829485539351
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,225,0.9912260756924949
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1070,280,1.089905111439398
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,210,1.1553360374650619
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,200,1.2624510897304295
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1070,250,1.2833012287035497
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,190,1.3579348470004537
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,180,1.4771212547196624
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1070,210,1.5717088318086876
51.4,6.0,14.4,6.2,2.2,3.9,2.6,8.0,5.3,0.0,0.0,1100,140,1.5976951859255124
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,169,1.6242820958356683
56.65,6.0,12.65,5.0,1.55,4.5,1.6,6.4,5.65,0.0,0.0,1150,100,1.657055852857104
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.5,1100,170,1.678518379040114
60.1,5.6,9.0,4.3,2.0,3.0,0.0,7.5,8.0,0.0,0.5,1038,248,1.6972293427597176
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1140,150,1.745855195173729
59.1,5.6,9.0,4.3,2.0,4.0,0.0,7.5,8.0,0.0,0.5,1038,248,1.7626785637274363
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1100,180,1.7752462597402365
62.9,6.2,7.3,4.1,1.5,4.5,0.0,8.0,5.5,0.0,0.0,1100,140,1.7853298350107671
57.0,6.0,12.0,5.0,1.0,5.0,0.0,8.0,6.0,0.0,0.0,1100,180,1.8169038393756602
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1140,150,1.8506462351830666
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.0,1130,140,1.8512583487190752
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1100,180,1.8704039052790271
59.64,5.68,9.84,4.75,4.01,3.0,0.0,7.66,3.85,1.02,0.55,1100,137,1.8864907251724818
55.5,6.0,12.0,5.0,1.0,5.0,1.5,8.0,6.0,0.0,0.0,1100,180,1.887054378050957
55.5,6.0,12.0,5.0,1.0,5.0,1.5,8.0,6.0,0.0,0.0,1000,310,1.9370161074648142
61.68,6.0,9.0,3.5,1.5,4.0,0.0,8.0,6.0,0.2,0.0,1100,174,1.9395192526186185
54.0,6.0,12.0,5.0,1.0,5.0,3.0,8.0,6.0,0.0,0.0,1100,180,1.9395192526186185
51.4,6.0,14.4,6.2,2.2,3.9,2.6,8.0,5.3,0.0,0.0,950,400,1.954242509439325
60.89,5.8,10.02,4.84,2.03,3.0,0.0,7.82,4.0,1.04,0.56,1100,137,1.9703468762300933
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1140,137,1.9712758487381052
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1000,310,1.9722028383790644
66.4,6.0,4.0,2.0,0.4,6.2,0.0,9.0,6.0,0.0,0.0,1130,140,1.9731278535996986
58.8,5.9,6.5,4.6,1.1,6.4,5.0,7.6,4.0,0.0,0.0,1150,137,1.9731278535996986
59.64,5.68,9.84,4.75,4.01,3.0,0.0,7.66,3.85,1.02,0.55,1100,137,1.9786369483844743
61.4,5.6,9.0,2.0,2.0,4.0,0.0,7.5,8.0,0.0,0.5,1038,248,1.9934362304976116
66.4,6.0,4.0,2.0,0.4,6.2,0.0,9.0,6.0,0.0,0.0,1080,190,2.0043213737826426
57.79,6.0,9.0,4.0,1.5,5.0,2.0,7.0,7.0,0.0,0.0,1130,140,2.012837224705172
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.0,1150,100,2.0293837776852097
60.0,6.0,8.0,4.0,1.0,6.0,3.0,7.0,5.0,0.0,0.0,1150,130,2.03342375548695
62.8,5.6,7.0,3.5,2.0,4.5,0.0,7.5,6.5,0.0,0.5,1130,137,2.041392685158225
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1140,137,2.053462604925455
56.5,6.0,7.0,7.0,3.0,4.5,3.0,8.0,5.0,0.0,0.0,1085,170,2.0538464268522527
60.4,6.0,9.0,5.0,1.0,4.2,0.0,3.9,9.0,0.0,1.5,1000,280,2.0718820073061255
65.8,6.0,4.0,2.0,0.4,6.8,0.0,9.0,6.0,0.0,0.0,1080,190,2.0755469613925306
66.5,6.0,4.0,2.0,0.5,6.5,0.0,9.0,5.5,0.0,0.0,1080,190,2.0755469613925306
51.7,6.0,14.4,6.1,1.0,3.9,3.7,7.9,5.3,0.0,0.0,950,400,2.084933574936716
61.7,6.0,8.9,6.9,1.4,2.9,0.0,6.7,5.5,0.0,0.0,1100,137,2.0863598306747484
62.81,5.76,8.99,4.41,1.87,1.77,0.0,7.2,7.01,0.0,0.79,1100,130,2.0867156639448825
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1000,310,2.0877814178095426
59.8,6.0,6.9,6.5,1.0,4.0,2.6,7.9,5.4,0.0,0.0,950,400,2.0888445627270045
61.68,6.0,9.0,3.5,1.5,4.0,0.0,8.0,6.0,0.2,0.0,1100,150,2.093421685162235
59.8,6.0,6.9,6.5,1.0,4.0,2.6,7.9,5.4,0.0,0.0,1100,140,2.095518042323151
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.0,1120,140,2.100370545117563
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1000,290,2.106870544478654
65.8,6.0,4.0,2.0,0.4,6.8,0.0,9.0,6.0,0.0,0.0,1130,140,2.113943352306837
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1100,165,2.1172712956557644
69.97,5.78,1.75,2.0,0.4,6.5,0.0,8.2,5.4,0.0,0.0,1150,100,2.1354506993455136
61.65,5.8,10.0,4.2,0.6,4.0,0.0,8.0,5.0,0.65,0.0,1010,248,2.143014800254095
57.05,5.47,9.46,4.57,4.0,2.83,3.96,7.38,3.77,0.98,0.53,1100,137,2.143327129992046
58.3,6.0,12.0,3.0,2.0,5.0,1.6,6.0,6.0,0.0,0.0,1100,137,2.146128035678238
61.65,5.8,10.0,4.2,0.6,4.0,0.0,8.0,5.0,0.65,0.0,1050,190,2.155336037465062
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1000,290,2.1571544399062814
58.4,6.0,12.0,3.0,2.0,5.0,1.6,6.0,6.0,0.0,0.0,1100,137,2.1583624920952498
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1100,165,2.1670217957902564
57.0,6.0,12.0,5.0,1.0,5.0,0.0,8.0,6.0,0.0,0.0,1000,310,2.16790781000148
61.0,5.6,9.0,4.3,2.0,2.0,0.0,7.5,8.0,0.0,0.6,1100,137,2.1702617153949575
55.8,5.9,6.5,4.6,2.1,6.4,7.0,7.6,4.0,0.0,0.0,1150,137,2.1818435879447726
54.0,6.0,12.0,5.0,1.0,5.0,3.0,8.0,6.0,0.0,0.0,1000,310,2.1861083798132053
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0.0,0.0,950,400,2.1878026387184195
61.0,6.0,6.9,3.5,2.4,4.1,2.7,8.0,5.5,0.0,0.0,950,400,2.188647295999717
58.8,5.9,6.7,5.7,2.1,3.9,3.6,7.8,5.3,0.0,0.0,1100,140,2.2121876044039577
62.5,6.0,6.0,6.0,3.0,4.5,0.0,7.0,5.0,0.0,0.0,1070,180,2.2140486794119414
62.5,6.0,6.0,6.0,3.0,4.5,0.0,7.0,5.0,0.0,0.0,1100,137,2.214843848047698
56.5,6.0,7.0,7.0,3.0,4.5,3.0,8.0,5.0,0.0,0.0,1150,137,2.220108088040055
60.3,5.7,10.0,4.0,0.6,4.5,0.0,8.0,6.0,0.8,0.0,1010,248,2.2278867046136734
62.74,5.53,6.05,2.78,3.0,4.38,2.85,7.77,4.9,0.0,0.0,1070,180,2.2377949932739227
57.79,6.0,9.0,4.0,1.5,5.0,2.0,7.0,7.0,0.0,0.0,1120,140,2.247973266361807
53.8,6.1,15.0,3.5,1.0,4.2,2.7,8.1,5.5,0.0,0.0,1100,140,2.255272505103306
60.35,5.71,9.94,4.76,3.04,3.0,0.0,7.74,3.9,1.01,0.55,1100,137,2.2600713879850747
60.3,5.7,10.0,4.0,0.6,4.5,0.0,8.0,6.0,0.8,0.0,1050,190,2.2648178230095364
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.5,1100,130,2.2706788361447066
62.8,5.6,9.0,6.5,0.6,3.0,0.0,6.5,6.0,0.0,0.0,1150,100,2.274850320016665
56.5,6.0,7.0,7.0,3.0,4.5,3.0,8.0,5.0,0.0,0.0,1085,160,2.2796669440484556
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1000,270,2.2801228963023075
62.81,5.76,8.99,4.41,1.87,1.77,0.0,7.2,7.01,0.0,0.79,980,250,2.2964457942063965
52.2,6.1,14.5,3.5,2.4,4.0,3.9,8.0,5.4,0.0,0.0,1100,140,2.3119656603683665
61.68,6.0,9.0,3.5,1.5,4.0,0.0,8.0,6.0,0.2,0.0,1100,137,2.3138672203691533
61.4,5.7,9.0,4.3,2.0,2.1,0.0,7.5,8.0,0.0,0.0,1100,137,2.3138672203691533
62.5,6.0,6.0,6.0,3.0,4.5,0.0,7.0,5.0,0.0,0.0,1070,160,2.3140779917792127
60.0,6.0,12.0,3.0,2.0,5.0,0.0,6.0,6.0,0.0,0.0,1100,137,2.3197304943302246
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1140,120,2.3281756614383227
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1100,150,2.330210784571528
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.5,1100,140,2.3364597338485296
61.7,6.0,7.1,3.6,1.0,4.4,2.6,7.9,5.4,0.0,0.0,950,400,2.336859820916809
59.79,6.0,9.0,4.0,1.5,5.0,0.0,7.0,7.0,0.0,0.5,1100,140,2.342422680822206
54.2,6.0,12.0,4.0,1.0,5.4,3.0,8.4,6.0,0.0,0.0,1100,150,2.345765693114488
60.45,5.7,10.0,3.5,0.6,4.8,0.0,8.0,6.0,0.85,0.0,1010,248,2.3560258571931225
62.5,6.0,6.0,6.0,3.0,4.5,0.0,7.0,5.0,0.0,0.0,1085,137,2.36285930295868
60.45,5.7,10.0,3.5,0.6,4.8,0.0,8.0,6.0,0.85,0.0,1050,190,2.3636119798921444
57.2,6.0,12.0,4.0,1.0,5.4,0.0,8.4,6.0,0.0,0.0,1140,120,2.368286884902131
53.8,6.1,15.0,3.5,1.0,4.2,2.7,8.1,5.5,0.0,0.0,950,400,2.3756636139608855
